headline,final_news,additional_info,url
लुँया भाः द्वःछि क्वाहाँ वल,थौं बुधवाः छापावाल लुँ छगू तोलाय् द्वःछि तका दां क्वाहाँ वःगु दु । मंगलवाः १ लख २ हजार ५ सय तका दामं कारोवार जूगु लँु थौं बुधवाः १ लख १ हजार ५ सय तका दामं कारोवार जूगु नेपाल सुनचाँदी व्यवसायी महासंघं जानकारी ब्यूगु दु । संघया कथं थौं वहःया मूू नं छगू तोलाय् ४० तका दां क्वाहाँ वःगु दु । मंगलवाः छगू तोलाय् १ हजार २ सय ६५ तका दामं कारोवार जूगु वहःया मू बुधवाः छगू तोलाया १ हजार २ सय २५ तकां कारोवार जुयाच्वंगु दु ।,"नेवा: अनलाइन न्युज – ललेन्द्र शाक्य | २०७९ फाल्गुण २४, बुधबार १४:१४:३९  ",https://www.newaonlinenews.com//%E0%A4%B2%E0%A5%81%E0%A4%81%E0%A4%AF%E0%A4%BE-%E0%A4%AD%E0%A4%BE%E0%A4%83-%E0%A4%A6%E0%A5%8D%E0%A4%B5%E0%A4%83%E0%A4%9B%E0%A4%BF-%E0%A4%95%E0%A5%8D%E0%A4%B5%E0%A4%BE%E0%A4%B9%E0%A4%BE%E0%A4%81-%E0%A4%B5%E0%A4%B2
गुलाफ स्वां नं विदेशया हे भर !,मतिना प्रतीक कथं कयातःगु ह्याउँगु गुलाफ स्वां नं आयातय् भर परेजुइमाःगु अवस्था जूगु दु । थुगुखुसि गुलाफ स्वांया खेती म्हो जूगु हुनिं थुगु दँ उत्पादन क्वाहाँ वयेधुंकाः गुलाफ स्वां आयातय् हे भर परेजुइमाःगु अवस्था वःगु दु । फ्लोरिकल्चर एसोसिएसन नेपाल (फ्यान)या कथं फेब्रुअरी १४ य् न्यायेकीगु मतिना दिवस (भ्यालेन्टाइन डे)या नितिं दँय् दसं साढे २ लखसिबें अप्वः गुलाफ स्वांया कारोवार जुइगु जुयाच्वंगु जानकारी ब्यूगु दु । फ्यानया नायः मीनबहादुर तामाङं प्रणय दिवसय् माग जुइगु ह्याउँगु गुलाफ स्वांया मागलिसें आयात नं अप्वःगु धाःगु दु ।  कोरोनाया हुनिं विस्थापित जूगु गुलाफ स्वां उत्पादक किसान हाकनं वहे खेतीपाखे लिहाँ मवःगुलिं थुगु दँ ह्याउँगु गुलाफ स्वां उत्पादनय् म्हो जूगु व आयात बृद्धि यायेमाःगु अवस्था वःगु तामाङं धाःगु दु । फ्यानया कथं थुगु दँ २ लख ८० हजार गुलाफया ‘स्टिक’ खपत जुइगु अनुमान याःगुलि स्वदेशया उत्पादनं थ्यंमथ्यं ७ प्रतिशत जक धानेयाइगु खनेदूगु दु । न्हापाया दँ मागया १० प्रतिशत ह्याउँगु गुलाफ नेपाःया उत्पादनं धानेयाःगु व कोरोना न्ह्यःया दँय् नेपाःया उत्पादनं २५ प्रतिशत थ्यंमथ्यं माग धानेयानाः वयाच्वगुलि लिपांगुखुसि उत्पादन छसिंकथं म्हो जुजुं वंगु फ्यानं जानकारी ब्यूगु दु । फ्यानया कथं वंगु दँ ९० प्रतिशत आयात व १० प्रतिशत स्वदेशी उत्पादन जूगु खः । ख्वाउँगु व म्हो खेतीया हुनिं थुगु दँ उत्पादन थप म्हो जूगु दु ।  वइगु फागुन २ गते लाःगु मतिना दिवसया नितिं थ्यंमथ्यं २ लख ६० हजार स्टिम गुलाफ आयात जुइसा आन्तरिक आपूर्ति २० हजा स्टिक जक जुइगु फ्यानं जानकारी ब्यूगु दु ।,"नेवा: अनलाइन न्युज | २०७९ माघ २७, शुक्रबार १०:५०:२०  ",https://www.newaonlinenews.com//%E0%A4%97%E0%A5%81%E0%A4%B2%E0%A4%BE%E0%A4%AB-%E0%A4%B8%E0%A5%8D%E0%A4%B5%E0%A4%BE%E0%A4%82-%E0%A4%A8%E0%A4%82-%E0%A4%B5%E0%A4%BF%E0%A4%A6%E0%A5%87%E0%A4%B6%E0%A4%AF%E0%A4%BE-%E0%A4%B9%E0%A5%87-%E0%A4%AD%E0%A4%B0
लुँया भाः तोलां निसः तका कुहाँवल,स्थानीय बजारय् थौं मंगलवाः लुँया भाः छु भचाः कुहाँवंगु दु । सोमवाः स्थिर जुयाच्वंगु लूाया भाः थौं प्रतितोला निसः तका कुहाँवंगु खः । नेपाल सुनचाँदी व्यवसायी महासंघया कथं थौं छापावाल लँ प्रतितोला १ लाख ३ हजार व तेजाबी लुँ प्रतितोला १ लाख २ हजार ५ सय नं कारोबार जुयाच्वंगु दु । वहःया भाः धाःसा थौं म्हिगः भाः १२ सय ९० तकां कारोबार जुयाच्वंगु दु ।,"नेवा: अनलाइन न्युज | २०७९ फाल्गुण ९, मंगलबार १२:४५:४३  ",https://www.newaonlinenews.com//%E0%A4%B2%E0%A5%81%E0%A4%81%E0%A4%AF%E0%A4%BE-%E0%A4%AD%E0%A4%BE%E0%A4%83-%E0%A4%A4%E0%A5%8B%E0%A4%B2%E0%A4%BE%E0%A4%82-%E0%A4%A8%E0%A4%BF%E0%A4%B8%E0%A4%83-%E0%A4%A4%E0%A4%95%E0%A4%BE-%E0%A4%95%E0%A5%81%E0%A4%B9%E0%A4%BE%E0%A4%81%E0%A4%B5%E0%A4%B2
परराष्ट्रविद् हिरण्यलाल श्रेष्ठया न्हूगु सफू पिदन,परराष्ट्रविद् राजनीतिज्ञ हिरण्यलाल श्रेष्ठया न्हूगु सफू पिदंगु दु ।  नेपाल व बंगलादेशया बौद्धधर्मया स्वापूयात कयाः वय्कलं च्वयादीगु उगु सफू छुं दिं न्ह्यः पुलांम्ह प्रधानमन्त्री लिसें नेकपा एमालेया नायः केपी शर्मा ओली व नेपाःया नितिं बंगलादेशया राजदूत सालाहुद्दीन नोमक चौधरीं मंकाः कथं उलेज्या यानादीगु खः । नायः ओलीया छेँ बालकोटय् वय्कःया बुदिंया लसताय् जूगु ज्याझ्वलय् उगु ज्याझ्वः जूगु खः ।  उगु ज्याझ्वलय् सफू च्वमि हिरण्यलाल श्रेष्ठं नेपाः व बंगलादेशया दथुइ बौद्धधर्मया स्वापू गुकथं जुल धैगु सम्बन्धय् दुग्यंक अध्ययन यानाः उगु सफू च्वयागु खँ कनादीगु खः । ,"नेवा: अनलाइन न्युज – ललेन्द्र शाक्य | २०७९ फाल्गुण १४, आइतबार १४:५०:२५  ",https://www.newaonlinenews.com//%E0%A4%AA%E0%A4%B0%E0%A4%B0%E0%A4%BE%E0%A4%B7%E0%A5%8D%E0%A4%9F%E0%A5%8D%E0%A4%B0%E0%A4%B5%E0%A4%BF%E0%A4%A6%E0%A5%8D-%E0%A4%B9%E0%A4%BF%E0%A4%B0%E0%A4%A3%E0%A5%8D%E0%A4%AF%E0%A4%B2%E0%A4%BE%E0%A4%B2-%E0%A4%B6%E0%A5%8D%E0%A4%B0%E0%A5%87%E0%A4%B7%E0%A5%8D%E0%A4%A0%E0%A4%AF%E0%A4%BE-%E0%A4%A8%E0%A5%8D%E0%A4%B9%E0%A5%82%E0%A4%97%E0%A5%81-%E0%A4%B8%E0%A4%AB%E0%A5%82-%E0%A4%AA%E0%A4%BF%E0%A4%A6%E0%A4%A8
"बैंकतसें क्वकाःगु ब्याजदर थौंनिसें लागु, सुयागु गुलि थ्यन ?",बैंकतसें थौं चैत्र १ गतेनिसें मुद्दती निक्षेपया ब्याजदर यथावत तसें बचतया व्याजदर क्वकाःगु दु । फागुनय् वचतय् ६.४२ निसें ८.४२ प्रतिशत ब्याज ब्यूगु बैंकतसें चैत्रनिसें ६ निसें ८ प्रतिशत ब्याजदर कायम याःगु खः । बैंकतसें रेमिट्यान्स बचत व मुद्दतीइ धाःसा १ प्रतिशत विन्दुं थप ब्याजदर बिइमाःगु राष्ट्र बैंकया व्यवस्था कथं वहे ब्याजदर प्रकाशित याःगु दु । नेपाल बैंकर्स संघं चैत्रय् मुद्दती निक्षेपया यथावत तसें वचतया ब्याजदर क्वकायेगु निर्णय याःगु खः । वहे कथं बैंकतसें बचतया ब्याजदर क्वकाःगु खः । स्ट्याण्डर्ड चार्टर्डया ब्याजदर यथावत स्ट्याण्डर्ड चार्टर्ड बैंकया ब्याजदर धाःसा यथावत दु । फागुनय् हे स्ट्याण्डर्ड चार्टर्डं वचतय् ६.४२ निसें ७.१५ प्रतिशत ब्याजदर ब्यूगु खः । चैत्रय् नं वहे ब्याजदरयात निरन्तरता ब्यूगु स्ट्याण्डर्ड चार्टर्ड बैंकं जानकारी ब्यूगु दु । थ्वसिबें न्ह्यः वचतय् ८.४२ प्रतिशत ब्याजदर ब्यूगु मेमेगु बैंकं धाःसा उकियात क्वकयाः ८ प्रतिशत कायम याःगु दु । बैंकतसें वचतय् ब्यूगु ब्याजदरया तल्लो सीमा व मुद्दती निक्षेपया माथिल्लो सीमा दथुया अन्तर ५ प्रतिशत विन्दुसिबें अप्वलं जुइ मज्यूगु व्यवस्था राष्ट्र बैंकं याःगु दु । बैंकतसें वहे सीमा दुने च्वनेगु कथं वचतय् न्यूनतम ६ प्रतिशत कायम यानाः मुद्दतीया ११ प्रतिशत ब्याजदर यथावत तःगु खः । वाणिज्य बैंकं बचतया जक ब्याजदर क्वकाःसां नं विकास बैंक व वित्त कम्पनीं धाःसा मुद्दतीया ब्याजदर नं सामान्य क्वकाःगु दु । विकास बैंकतसें मुद्दतीया ब्याजदर ११.७५ प्रतिशतं ११.६० प्रतिशत कायम याःबलय् बचतय् फागुनतक ६.७५ निसें ८.७५ प्रतिशत खः । थौं चैत्र १ गतेनिसें ६.६ निसें ८.६ प्रतिशत कायम जूगु दु ।,"नेवा: अनलाइन न्युज – ललेन्द्र शाक्य | २०७९ चैत्र १, बुधबार ११:५१:२७  ",https://www.newaonlinenews.com//%E0%A4%AC%E0%A5%88%E0%A4%82%E0%A4%95%E0%A4%A4%E0%A4%B8%E0%A5%87%E0%A4%82-%E0%A4%95%E0%A5%8D%E0%A4%B5%E0%A4%95%E0%A4%BE%E0%A4%83%E0%A4%97%E0%A5%81-%E0%A4%AC%E0%A5%8D%E0%A4%AF%E0%A4%BE%E0%A4%9C%E0%A4%A6%E0%A4%B0-%E0%A4%A5%E0%A5%8C%E0%A4%82%E0%A4%A8%E0%A4%BF%E0%A4%B8%E0%A5%87%E0%A4%82-%E0%A4%B2%E0%A4%BE%E0%A4%97%E0%A5%81-%E0%A4%B8%E0%A5%81%E0%A4%AF%E0%A4%BE%E0%A4%97%E0%A5%81-%E0%A4%97%E0%A5%81%E0%A4%B2%E0%A4%BF-%E0%A4%A5%E0%A5%8D%E0%A4%AF%E0%A4%A8
भुतू ज्याय् छ्यलीगु एलपी ग्याँसय् ३३९ तका दां थाहाँ वन !,"भारतं थिकेजुयाः वल ग्याँसया मू, पेट्रोल व डिजलया मू क्वाहाँ वल नेपाल आयल निगमयात भारतीय इन्धन बिक्रेता कम्पनी भारतीय आयल कर्पोरेसन (आईओसी) पाखें इन्धनया न्हूगु लागत मू छ्वयाहःगु दु । वकथं भुतू ज्याय् छ्यलीगु एलपी ग्याँसया मू थाहाँ वंगु व डिजल व पेट्रोलया मू क्वाहाँ वंगु धलः वःगु नेपाल आयल निगमं जानकारी ब्यूगु दु । न्हूगु मूकथं निगमयात डिजलया लागत न्यातका दां व ५ पैसा क्वाहाँ वःगु दु । अथेहे, पेट्रोलय् छतका व २१ पैसा क्वाहाँ वःगु निगमं जानकारी ब्यूगु दु । निगमयात मचिकनय् स्वतका व ४० पैसा लागत क्वाहाँ वःगु व हवाई इन्धनय् न्हयतका व ३ पैसा लागत क्वाहाँ वःगु दु । मेमेगु फुक्क कथंया इन्धनया लागत क्वाहाँ वःबलय् भुतू ज्याय् छ्यलीगु एलपी ग्याँसया लागत धाःसा थाहाँ वंगु निगम स्रोतया दाबी दु । निगमयात वःगु न्हूगु मूकथं एलपी ग्याँसया लागत प्रतिसिलिण्डर ३३९ तका दां थाहाँ वंगु दु । लिपांगु मू लिपा नं निगमयात झिंन्यान्हुइ ४४ करोड तकाा दां नाफा जूगु दु । निगमयात वंगु आर्थिक वर्षया नोक्सानीपाखें ऋण व बक्यौता यानाः साढे १५ अर्ब तका दां दायित्व धाःसा ल्यं हे दनिगु निगमं दाबी याःगु दु । ","नेवा: अनलाइन न्युज – ललेन्द्र शाक्य | २०७९ फाल्गुण १८, बिहिबार ११:०२:३७  ",https://www.newaonlinenews.com//%E0%A4%AD%E0%A5%81%E0%A4%A4%E0%A5%82-%E0%A4%9C%E0%A5%8D%E0%A4%AF%E0%A4%BE%E0%A4%AF%E0%A5%8D-%E0%A4%9B%E0%A5%8D%E0%A4%AF%E0%A4%B2%E0%A5%80%E0%A4%97%E0%A5%81-%E0%A4%8F%E0%A4%B2%E0%A4%AA%E0%A5%80-%E0%A4%97%E0%A5%8D%E0%A4%AF%E0%A4%BE%E0%A4%81%E0%A4%B8%E0%A4%AF%E0%A5%8D-%E0%A5%A9%E0%A5%A9%E0%A5%AF-%E0%A4%A4%E0%A4%95%E0%A4%BE-%E0%A4%A6%E0%A4%BE%E0%A4%82-%E0%A4%A5%E0%A4%BE%E0%A4%B9%E0%A4%BE%E0%A4%81-%E0%A4%B5%E0%A4%A8
‘सहकारीया ऋण इलय् हे भुक्तानी या’ : राष्ट्रिय सहकारी महासंघ,राष्ट्रिय सहकारी महासंघं सहकारी संस्थाया ऋणी दुजःपिन्त इलय् हे ऋणया किस्ता व ब्याज भुक्तानी यायेत आह्वान याःगु दु । विज्ञप्ति सार्वजनिक यासें नेपाःया सहकारी अभियानया शीर्षस्थ निकाय राष्ट्रिय सहकारी महासंघं ऋणी दुजःपिन्त इलय् हे नियमित किस्ता व ब्याज भुक्तानी यानाः मेमेपिं दुजःपिनिगु बचत रकम लितबिइत सहज लकस दयेकाबिइत इनाप याःगु खः । लिपांगु इलय् छुं छुं सहकारीइ समस्या ब्वलनेधुंकाः सहकारीया वचतकर्तापिन्सं वचत रकम कायेगु यानाहःगु व तरलताय् हाथ्या खनेदूगु महासंघं जानकारी ब्यूगु दु ।,"नेवा: अनलाइन न्युज – ललेन्द्र शाक्य | २०७९ चैत्र २, बिहिबार १०:४७:४५  ",https://www.newaonlinenews.com//%E2%80%98%E0%A4%B8%E0%A4%B9%E0%A4%95%E0%A4%BE%E0%A4%B0%E0%A5%80%E0%A4%AF%E0%A4%BE-%E0%A4%8B%E0%A4%A3-%E0%A4%87%E0%A4%B2%E0%A4%AF%E0%A5%8D-%E0%A4%B9%E0%A5%87-%E0%A4%AD%E0%A5%81%E0%A4%95%E0%A5%8D%E0%A4%A4%E0%A4%BE%E0%A4%A8%E0%A5%80-%E0%A4%AF%E0%A4%BE%E2%80%99-%E0%A4%B0%E0%A4%BE%E0%A4%B7%E0%A5%8D%E0%A4%9F%E0%A5%8D%E0%A4%B0%E0%A4%BF%E0%A4%AF-%E0%A4%B8%E0%A4%B9%E0%A4%95%E0%A4%BE%E0%A4%B0%E0%A5%80-%E0%A4%AE%E0%A4%B9%E0%A4%BE%E0%A4%B8%E0%A4%82%E0%A4%98
थाहाँ वन लुँया मू : गुलि थ्यन तोलां ?,नेपाली बजारय् थौं आइतवाः लुँया मू द्वःछि व न्हयसः तका थाहाँ वंगु दु । नेपाल सुनचाँदी व्यवसायी महासंघया कथं थौं आइतवाः छापावाल लुँ छगू तोला १ लख ३ हजार ५ सय तकां कारोवार जुयाच्वंगु दु । शुक्रवाः लुँया मू छगू तोला १ लख १ हजार ५ तकां कारोवार जूगु खः । तेजावी लुँया मू तोलाया १ लख ३ हजार तका निर्धारण जूगु दु ।,"नेवा: अनलाइन न्युज – ललेन्द्र शाक्य | २०७९ फाल्गुण २८, आइतबार १२:०२:११  ",https://www.newaonlinenews.com//%E0%A4%A5%E0%A4%BE%E0%A4%B9%E0%A4%BE%E0%A4%81-%E0%A4%B5%E0%A4%A8-%E0%A4%B2%E0%A5%81%E0%A4%81%E0%A4%AF%E0%A4%BE-%E0%A4%AE%E0%A5%82-%E0%A4%97%E0%A5%81%E0%A4%B2%E0%A4%BF-%E0%A4%A5%E0%A5%8D%E0%A4%AF%E0%A4%A8-%E0%A4%A4%E0%A5%8B%E0%A4%B2%E0%A4%BE%E0%A4%82
"इन्टरनेट, केबल टिभी व दूरसञ्चारया तार व्यवस्थापन मयाःसा प्राधिकरणं हे चिइकीगु","नेपाल विद्युत प्राधिकरणं विद्युतीय पोल छ्यलाः अव्यवस्थित रुपं तयातःगु व छ्यलाबुलाय् मजूगु अनावश्यक तार तत्काल व्यवस्थापन यायेत इन्टरनेट, केबल टिभी व दूरसंचार सेवा प्रदायकयात इनाप याःगु दु । थुकिया पालना मजूसा प्राधिकरण थःपिनसं हे तार चिइकेगु ख्याच्वः तकं ब्यूगु दु । प्राधिकरणं थ्वसिबें न्ह्यः २०७९ कार्तिक १५ गते व १८ गते थथेहे इनाप याःगु खः । उगु निर्देशनया पालना मजूगु धासें प्राधिकरणं मंगलवाः थथे ख्याच्वः ब्यूगु खः । लिपांगु ई अव्यवस्थित तार चिइकेत स्थानीय तह तकं अग्रसर जूगु दु । उज्वःगु तार चिइकाः सहरी सुन्दरता कायम यायेत, मिँ च्याइगु लिसेंया विद्युतीय दुर्घटना न्यूनीकरण यासें स्तरीय विद्युत सेवा उपलब्ध याकेत तकं प्राधिकरणं सरोकारवालापिन्त इनाप याःगु दु । प्राधिकरणं अप्टिकल फाइबर केवल व विद्युत लाइन व भू सतहया न्यूनतम भर्टिकल क्लियरनेस कायम यायेगु बारे मापदण्ड तकं क्वःछ्यूगु दु । गुकी ४०० भोल्ट लाइन (नांगां तार)य् ८० सेमी, ४०० भोल्ट लाइन (इन्सुलेटेड तार)य् ३० सेमी, ११ केभी – ३३ केभीइ २ मिटर व मेमेगु ४०० भोल्टया उपकरणय् ७५ सेमीया दूरी तयेगु कथं क्वःछ्यूगु दु ।  अप्टिकल फाइबर व जमिन सतह दथुुया न्यूनतम दूरी धाःसा प्रदल मार्गय् २.४ मिटर व सतक मार्गय् ५.५ मिटर कायेम यायेमालीगु जूगु दु । राउटर, रिपेटर, अप्टिकल फाइबर डिष्ट्रिब्युसन बक्स व जोइन्ट क्लोजरथें जाःगु उपकरणत पोलया छगू हे जक साइडय् मिलेयानाः कुतुं मवइगु, मसनीगु कथं तय्त व सफालिसे क्लिप, ब्याण्ड छ्यलाः वायरिङ यायेत तकं प्राधिकरणं सचेत याकूगु दु । छ्यलाबुलाय् मदूगु फुक्क तार व उपकरण तत्काल चिइकेमालीगु जूगु दु । प्राधिकरणया पोलय् क्वाइल–लूप दयेकाः तयातःगु केवल तारत तत्काल चिइकेत व न्हूगु केबल सालेबलय् अतिरिक्त लम्बाइया केबलयात क्वाइल–लूप दयेकाः यःखायेगु ज्या मयायेत तकं प्राधिकरणं धाःगु दु ।","नेवा: अनलाइन न्युज – ललेन्द्र शाक्य | २०७९ फाल्गुण २३, मंगलबार १५:३२:२९  ",https://www.newaonlinenews.com//%E0%A4%87%E0%A4%A8%E0%A5%8D%E0%A4%9F%E0%A4%B0%E0%A4%A8%E0%A5%87%E0%A4%9F-%E0%A4%95%E0%A5%87%E0%A4%AC%E0%A4%B2-%E0%A4%9F%E0%A4%BF%E0%A4%AD%E0%A5%80-%E0%A4%B5-%E0%A4%A6%E0%A5%82%E0%A4%B0%E0%A4%B8%E0%A4%9E%E0%A5%8D%E0%A4%9A%E0%A4%BE%E0%A4%B0%E0%A4%AF%E0%A4%BE-%E0%A4%A4%E0%A4%BE%E0%A4%B0-%E0%A4%B5%E0%A5%8D%E0%A4%AF%E0%A4%B5%E0%A4%B8%E0%A5%8D%E0%A4%A5%E0%A4%BE%E0%A4%AA%E0%A4%A8-%E0%A4%AE%E0%A4%AF%E0%A4%BE%E0%A4%83%E0%A4%B8%E0%A4%BE-%E0%A4%AA%E0%A5%8D%E0%A4%B0%E0%A4%BE%E0%A4%A7%E0%A4%BF%E0%A4%95%E0%A4%B0%E0%A4%A3%E0%A4%82-%E0%A4%B9%E0%A5%87-%E0%A4%9A%E0%A4%BF%E0%A4%87%E0%A4%95%E0%A5%80%E0%A4%97%E0%A5%81
आईओसी पाखें हानं नेपाःयात इन्धनया भाः क्वकाया छ्वयाहल,नेपाल आयल निगमयात भारतीय आयल कर्पोरेसन (आईओसी) पाखें हानं इन्धनया भाः कुहाँवःगु भावं छ्वयाहःगु दु ।,"नेवा: अनलाइन न्युज – निश्चल | २०७९ पौष १, शुक्रबार १८:२५:५०  ",https://www.newaonlinenews.com//%E0%A4%86%E0%A4%88%E0%A4%93%E0%A4%B8%E0%A5%80-%E0%A4%AA%E0%A4%BE%E0%A4%96%E0%A5%87%E0%A4%82-%E0%A4%B9%E0%A4%BE%E0%A4%A8%E0%A4%82-%E0%A4%A8%E0%A5%87%E0%A4%AA%E0%A4%BE%E0%A4%83%E0%A4%AF%E0%A4%BE%E0%A4%A4-%E0%A4%87%E0%A4%A8%E0%A5%8D%E0%A4%A7%E0%A4%A8%E0%A4%AF%E0%A4%BE-%E0%A4%AD%E0%A4%BE%E0%A4%83-%E0%A4%95%E0%A5%8D%E0%A4%B5%E0%A4%95%E0%A4%BE%E0%A4%AF%E0%A4%BE-%E0%A4%9B%E0%A5%8D%E0%A4%B5%E0%A4%AF%E0%A4%BE%E0%A4%B9%E0%A4%B2
